id,talep_metni,birim,modul,surec_talep_tipi,oncelik
927,Ayşe Hanım'in bilgisayarının donanımının yenilenmesini rica ediyoruz.,Bilgi Teknolojileri,Donanım,Ekipman Değişim/Yükseltme Talebi,Orta
928,Kartuş değişimi için talep açmak istiyorum.,Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Toner/Kartuş Talebi,Düşük
929,Performans değerlendirme dönemim hakkında bilgi almak istiyorum.,İnsan Kaynakları,Performans Yönetimi,Performans Değerlendirme Talebi,Düşük
930,"3. kat'daki lavabo tıkalı, su akmıyor.",İdari İşler,Bina/Tesis Bakım,Su Tesisatı Arıza Bildirimi,Yüksek
931,"İnternetim çok yavaş, kontrol edilebilir mi?",Bilgi Teknolojileri,Ağ/Network,İnternet Bağlantı Sorunu,Yüksek
932,"Lojistik binası'da internet bağlantısı kesik, bu ay içinde beri.",Bilgi Teknolojileri,Ağ/Network,İnternet Bağlantı Sorunu,Yüksek
933,Bu ayki maaşımda bir eksik ödeme fark ettim.,İnsan Kaynakları,Bordro/Özlük,Maaş Hatası Bildirimi,Yüksek
934,Ankara ofisi'a yeni bir çalışma masası talep ediyorum.,İdari İşler,Ofis Malzemesi/Satınalma,Mobilya Talebi,Düşük
935,Mehmet Bey hakkında 360 derece geri bildirim süreci başlatmak istiyorum.,İnsan Kaynakları,Performans Yönetimi,Geri Bildirim Talebi,Düşük
936,"Ana bina genelinde internet erişimi yok, herkes şikayetçi.",Bilgi Teknolojileri,Ağ/Network,İnternet Bağlantı Sorunu,Yüksek
937,dün saat için toplantı ikramı talep ediyorum.,İdari İşler,Catering/Yemekhane,Toplantı İkramı Talebi,Düşük
938,3. kat'daki toplantı için kahve ve su talep ediyorum.,İdari İşler,Catering/Yemekhane,Toplantı İkramı Talebi,Düşük
939,"Şifremi unuttum, sıfırlanmasını rica ediyorum.",Bilgi Teknolojileri,Erişim ve Yetkilendirme,Şifre Sıfırlama Talebi,Yüksek
940,"Hijyen malzemeleri stoku azaldı, tedarik rica ederim.",İdari İşler,Temizlik/Hizmet,Hijyen Malzeme Talebi,Düşük
941,Mehmet Bey'in ekipman envanterine yeni bir dizüstü eklenmesini istiyorum.,Bilgi Teknolojileri,Donanım,Yeni Ekipman Talebi,Düşük
942,Ekibimiz için yeni bir pozisyon açılmasını talep ediyorum.,İnsan Kaynakları,İşe Alım,Pozisyon Açma Talebi,Düşük
943,15 günlük istirahat raporumu iletiyorum.,İnsan Kaynakları,İzin Yönetimi,Rapor/Sağlık İzni Bildirimi,Yüksek
944,"Sunucu çok yavaş çalışıyor, tüm ekip etkilendi.",Bilgi Teknolojileri,Sunucu/Sistem,Sunucu Arıza Bildirimi,Kritik
945,Saha çalışması için bir araca ihtiyacımız var.,İdari İşler,Ulaşım/Araç,Araç Tahsis Talebi,Orta
946,"Çağrı merkezi genelinde internet erişimi yok, herkes şikayetçi.",Bilgi Teknolojileri,Ağ/Network,İnternet Bağlantı Sorunu,Kritik
947,Yeni başlayanlar için oryantasyon eğitimi planlanmasını istiyorum.,İnsan Kaynakları,Eğitim,Eğitim Kaydı Talebi,Düşük
948,Yeni ekipman alımı için satınalma onayı bekliyorum.,İdari İşler,Ofis Malzemesi/Satınalma,Satınalma Onay Talebi,Yüksek
949,Burak Bey için referans kontrolü yapılmasını rica ediyorum.,İnsan Kaynakları,İşe Alım,Referans Kontrolü Talebi,Düşük
950,802 plakalı araçta motor arızası var.,İdari İşler,Ulaşım/Araç,Araç Arıza/Bakım Bildirimi,Kritik
951,Uzaktan çalışırken VPN sürekli kopuyor.,Bilgi Teknolojileri,Ağ/Network,VPN Erişim Sorunu,Orta
952,7 günlük istirahat raporumu iletiyorum.,İnsan Kaynakları,İzin Yönetimi,Rapor/Sağlık İzni Bildirimi,Yüksek
953,Deniz Hanım için vejetaryen menü talep ediyorum.,İdari İşler,Catering/Yemekhane,Diyet/Özel Menü Talebi,Düşük
954,Görüşme yapılan adaylar için geri bildirim formu talep ediyorum.,İnsan Kaynakları,İşe Alım,Aday Değerlendirme Süreci Talebi,Düşük
955,Burak Bey için VPN erişim talebi açmak istiyorum.,Bilgi Teknolojileri,Ağ/Network,VPN Erişim Sorunu,Orta
956,Aday hakkında önceki işyerinden referans teyidi istiyorum.,İnsan Kaynakları,İşe Alım,Referans Kontrolü Talebi,Düşük
957,"Muhasebe birimi'da Wi-Fi sinyali çok zayıf, kontrol edilebilir mi?",Bilgi Teknolojileri,Ağ/Network,Wi-Fi Bağlantı Talebi,Düşük
958,"bordro yazılımı şifremi sıfırlamam gerekiyor, acil.",Bilgi Teknolojileri,Erişim ve Yetkilendirme,Şifre Sıfırlama Talebi,Yüksek
959,"Yazıcı kağıdı ve kalem stoku bitti, tedarik rica ederim.",İdari İşler,Ofis Malzemesi/Satınalma,Kırtasiye Malzeme Talebi,Düşük
960,"bu ay içinde itibarıyla izne çıkmak istiyorum, onay rica ederim.",İnsan Kaynakları,İzin Yönetimi,Yıllık İzin Talebi,Orta
961,Ana bina'daki halı yıkama talebinde bulunuyorum.,İdari İşler,Temizlik/Hizmet,Ofis Temizlik Talebi,Düşük
962,Başvuran adayların mülakat sürecini planlamak istiyorum.,İnsan Kaynakları,İşe Alım,Aday Değerlendirme Süreci Talebi,Orta
963,Yemeklerin kalitesiyle ilgili bir şikayetim var.,İdari İşler,Catering/Yemekhane,Yemek Menü Talebi/Şikayeti,Orta
964,Saha çalışması için bir araca ihtiyacımız var.,İdari İşler,Ulaşım/Araç,Araç Tahsis Talebi,Düşük
965,"Gökhan Bey izin gününü ertelemek istiyor, işlem yapılabilir mi?",İnsan Kaynakları,İzin Yönetimi,İzin İptal/Değişiklik Talebi,Orta
966,Deniz Hanım olarak 5 gün izin kullanmak istiyorum.,İnsan Kaynakları,İzin Yönetimi,Yıllık İzin Talebi,Düşük
967,"Başka bir departmana geçiş yapmak istiyorum, süreç nasıl işliyor?",İnsan Kaynakları,Kariyer/Özlük İşlemleri,Departman/Görev Değişikliği Talebi,Düşük
968,Aday hakkında önceki işyerinden referans teyidi istiyorum.,İnsan Kaynakları,İşe Alım,Referans Kontrolü Talebi,Düşük
969,Caner Bey ile birlikte hedef belirleme toplantısı planlamak istiyorum.,İnsan Kaynakları,Performans Yönetimi,Hedef Belirleme Süreci Talebi,Düşük
970,"Yazıcıdan çıktı alamıyorum, az önce beri arızalı.",Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Yazıcı Arıza Bildirimi,Yüksek
971,Yeni ekipman alımı için satınalma onayı bekliyorum.,İdari İşler,Ofis Malzemesi/Satınalma,Satınalma Onay Talebi,Yüksek
972,Bu ayki maaşımda bir eksik ödeme fark ettim.,İnsan Kaynakları,Bordro/Özlük,Maaş Hatası Bildirimi,Yüksek
973,Mükremin Bey için vejetaryen menü talep ediyorum.,İdari İşler,Catering/Yemekhane,Diyet/Özel Menü Talebi,Düşük
974,ERP sistemi eğitimine kayıt olmak istiyorum.,İnsan Kaynakları,Eğitim,Eğitim Kaydı Talebi,Düşük
975,Bu dönemki eğitim takvimi hakkında bilgi almak istiyorum.,İnsan Kaynakları,Eğitim,Eğitim Programı Bilgi Talebi,Düşük
976,Bu dönem hedeflerimin sisteme girilmesi gerekiyor.,İnsan Kaynakları,Performans Yönetimi,Hedef Belirleme Süreci Talebi,Düşük
977,Bu ayki maaşımda bir eksik ödeme fark ettim.,İnsan Kaynakları,Bordro/Özlük,Maaş Hatası Bildirimi,Kritik
978,Yeni başlayanlar için oryantasyon eğitimi planlanmasını istiyorum.,İnsan Kaynakları,Eğitim,Eğitim Kaydı Talebi,Düşük
979,Emre Bey servis güzergahının değiştirilmesini talep ediyor.,İdari İşler,Ulaşım/Araç,Servis Güzergah Talebi,Düşük
980,Geçmiş aylara ait bordro dökümü talep ediyorum.,İnsan Kaynakları,Bordro/Özlük,Bordro/Maaş Bilgisi Talebi,Orta
981,Fatma Hanım olarak muhasebe programı kullanırken hata kodu alıyorum.,Bilgi Teknolojileri,Yazılım,Yazılım Hata/Arıza Bildirimi,Yüksek
982,"Sağlık raporum var, sisteme işlenmesini rica ediyorum.",İnsan Kaynakları,İzin Yönetimi,Rapor/Sağlık İzni Bildirimi,Orta
983,"Sunucu çok yavaş çalışıyor, tüm ekip etkilendi.",Bilgi Teknolojileri,Sunucu/Sistem,Sunucu Arıza Bildirimi,Yüksek
984,Ekibimiz için yeni bir pozisyon açılmasını talep ediyorum.,İnsan Kaynakları,İşe Alım,Pozisyon Açma Talebi,Orta
985,Uzaktan çalışırken VPN sürekli kopuyor.,Bilgi Teknolojileri,Ağ/Network,VPN Erişim Sorunu,Orta
986,"Klimadan su damlıyor, acil kontrol rica ederim.",İdari İşler,Bina/Tesis Bakım,Klima Arıza Bildirimi,Orta
987,Glutensiz menü talebinde bulunmak istiyorum.,İdari İşler,Catering/Yemekhane,Diyet/Özel Menü Talebi,Düşük
988,"Yeni bir ERP sistemi lisansına ihtiyacım var, talep açabilir misiniz?",Bilgi Teknolojileri,Yazılım,Yazılım Kurulum/Lisans Talebi,Düşük
989,CRM uygulaması için güncelleme talebinde bulunuyorum.,Bilgi Teknolojileri,Yazılım,Yazılım Güncelleme Talebi,Düşük
990,"ITSM portalı dosyalarımı kaydetmiyor, acil bakılabilir mi?",Bilgi Teknolojileri,Yazılım,Yazılım Hata/Arıza Bildirimi,Kritik
991,Emre Bey olarak 10 gün izin kullanmak istiyorum.,İnsan Kaynakları,İzin Yönetimi,Yıllık İzin Talebi,Orta
992,"Yazıcı kağıdı ve kalem stoku bitti, tedarik rica ederim.",İdari İşler,Ofis Malzemesi/Satınalma,Kırtasiye Malzeme Talebi,Düşük
993,15 günlük yıllık izin talebinde bulunmak istiyorum.,İnsan Kaynakları,İzin Yönetimi,Yıllık İzin Talebi,Düşük
994,"Araç periyodik bakım zamanı geldi, randevu talep ediyorum.",İdari İşler,Ulaşım/Araç,Araç Arıza/Bakım Bildirimi,Yüksek
995,"Ankara ofisi'da Wi-Fi sinyali çok zayıf, kontrol edilebilir mi?",Bilgi Teknolojileri,Ağ/Network,Wi-Fi Bağlantı Talebi,Orta
996,CRM uygulaması güncel sürümüne geçmek istiyorum.,Bilgi Teknolojileri,Yazılım,Yazılım Güncelleme Talebi,Düşük
997,Ahmet Bey rahatsızlandığı için bugün rapor kullanacak.,İnsan Kaynakları,İzin Yönetimi,Rapor/Sağlık İzni Bildirimi,Yüksek
998,Ali Bey için şirket telefonu talep ediyorum.,Bilgi Teknolojileri,Telefon/İletişim,Mobil Cihaz Talebi,Düşük
999,Yeni personel için erişim kartı çıkarılması gerekiyor.,İdari İşler,Güvenlik,Kart/Giriş Yetkisi Talebi,Düşük
1000,Depo için kırtasiye malzemesi talep ediyorum.,İdari İşler,Ofis Malzemesi/Satınalma,Kırtasiye Malzeme Talebi,Düşük
